"V1","V2","V3"
"1",1,1,0.538
"2",2,3,0.598
"3",3,5,0.554
"4",4,15,0.52
"5",5,45,0.546
"6",6,60,0.482
"7",7,90,0.548
"8",8,1,0.552
"9",9,3,0.57
"10",10,5,0.53
"11",11,15,0.53
"12",12,45,0.504
"13",13,60,0.532
"14",14,90,0.494
"15",15,1,0.562
"16",16,3,0.602
"17",17,5,0.512
"18",18,15,0.536
"19",19,45,0.518
"20",20,60,0.498
"21",21,90,0.494
"22",22,1,0.618
"23",23,3,0.58
"24",24,5,0.552
"25",25,15,0.55
"26",26,45,0.508
"27",27,60,0.522
"28",28,90,0.52
"29",29,1,0.608
"30",30,3,0.55
"31",31,5,0.568
"32",32,15,0.532
"33",33,45,0.534
"34",34,60,0.522
"35",35,90,0.506
"36",36,1,0.588
"37",37,3,0.59
"38",38,5,0.548
"39",39,15,0.518
"40",40,45,0.486
"41",41,60,0.54
"42",42,90,0.506
"43",43,1,0.592
"44",44,3,0.56
"45",45,5,0.574
"46",46,15,0.528
"47",47,45,0.52
"48",48,60,0.522
"49",49,90,0.506
"50",50,1,0.556
"51",51,3,0.57
"52",52,5,0.554
"53",53,15,0.53
"54",54,45,0.534
"55",55,60,0.51
"56",56,90,0.516
"57",57,1,0.594
"58",58,3,0.564
"59",59,5,0.584
"60",60,15,0.522
"61",61,45,0.528
"62",62,60,0.544
"63",63,90,0.534
"64",64,1,0.578
"65",65,3,0.572
"66",66,5,0.566
"67",67,15,0.556
"68",68,45,0.522
"69",69,60,0.54
"70",70,90,0.526
