id,Cover_Type
50001,1
50002,2
50003,1
50004,1
50005,1
50006,1
50007,1
50008,1
50009,1
50010,2
50011,1
50012,2
50013,2
50014,5
50015,1
50016,1
50017,1
50018,1
50019,1
50020,1
50021,2
50022,1
50023,1
50024,1
50025,1
50026,1
50027,1
50028,2
50029,1
50030,1
50031,2
50032,1
50033,1
50034,1
50035,1
50036,2
50037,1
50038,1
50039,2
50040,1
50041,1
50042,1
50043,1
50044,1
50045,2
50046,1
50047,1
50048,1
50049,2
50050,3
50051,1
50052,1
50053,2
50054,1
50055,3
50056,1
50057,2
50058,1
50059,2
50060,1
50061,1
50062,1
50063,1
50064,1
50065,1
50066,1
50067,1
50068,1
50069,1
50070,1
50071,1
50072,1
50073,1
50074,2
50075,1
50076,1
50077,1
50078,2
50079,2
50080,1
50081,1
50082,2
50083,1
50084,1
50085,1
50086,1
50087,1
50088,1
50089,2
50090,2
50091,1
50092,1
50093,1
50094,1
50095,1
50096,5
50097,1
50098,3
50099,1
50100,3
50101,1
50102,1
50103,1
50104,3
50105,1
50106,6
50107,3
50108,2
50109,1
50110,2
50111,1
50112,1
50113,1
50114,2
50115,2
50116,1
50117,1
50118,1
50119,1
50120,1
50121,1
50122,1
50123,2
50124,1
50125,2
50126,2
50127,1
50128,1
50129,1
50130,1
50131,1
50132,1
50133,1
50134,1
50135,2
50136,1
50137,1
50138,1
50139,1
50140,1
50141,2
50142,7
50143,1
50144,1
50145,1
50146,1
50147,2
50148,1
50149,1
50150,1
50151,2
50152,2
50153,1
50154,1
50155,5
50156,1
50157,1
50158,1
50159,1
50160,1
50161,1
50162,2
50163,2
50164,2
50165,1
50166,1
50167,1
50168,1
50169,1
50170,1
50171,1
50172,1
50173,1
50174,1
50175,1
50176,2
50177,2
50178,1
50179,1
50180,2
50181,1
50182,4
50183,7
50184,1
50185,1
50186,1
50187,2
50188,1
50189,2
50190,1
50191,1
50192,2
50193,1
50194,1
50195,1
50196,1
50197,3
50198,1
50199,2
50200,1
50201,2
50202,1
50203,1
50204,1
50205,1
50206,3
50207,2
50208,1
50209,1
50210,2
50211,1
50212,1
50213,1
50214,1
50215,1
50216,1
50217,2
50218,2
50219,1
50220,2
50221,1
50222,1
50223,1
50224,2
50225,1
50226,3
50227,1
50228,3
50229,2
50230,1
50231,3
50232,3
50233,1
50234,1
50235,3
50236,6
50237,2
50238,1
50239,1
50240,3
50241,1
50242,1
50243,1
50244,2
50245,1
50246,1
50247,1
50248,2
50249,3
50250,2
50251,1
50252,1
50253,1
50254,1
50255,1
50256,1
50257,2
50258,2
50259,1
50260,1
50261,3
50262,1
50263,1
50264,1
50265,2
50266,1
50267,1
50268,6
50269,1
50270,2
50271,1
50272,1
50273,1
50274,1
50275,1
50276,1
50277,2
50278,1
50279,3
50280,1
50281,1
50282,2
50283,2
50284,1
50285,1
50286,2
50287,1
50288,2
50289,1
50290,1
50291,1
50292,2
50293,1
50294,1
50295,2
50296,1
50297,1
50298,1
50299,1
50300,1
50301,1
50302,1
50303,2
50304,2
50305,1
50306,2
50307,1
50308,1
50309,2
50310,1
50311,1
50312,1
50313,3
50314,1
50315,1
50316,1
50317,1
50318,1
50319,1
50320,6
50321,2
50322,3
50323,1
50324,1
50325,2
50326,5
50327,1
50328,1
50329,2
50330,1
50331,1
50332,1
50333,1
50334,1
50335,1
50336,1
50337,1
50338,1
50339,1
50340,1
50341,1
50342,1
50343,3
50344,1
50345,1
50346,2
50347,2
50348,1
50349,1
50350,1
50351,1
50352,1
50353,1
50354,1
50355,1
50356,2
50357,1
50358,1
50359,2
50360,1
50361,1
50362,2
50363,1
50364,2
50365,1
50366,1
50367,1
50368,1
50369,1
50370,1
50371,1
50372,7
50373,1
50374,1
50375,1
50376,1
50377,2
50378,1
50379,2
50380,1
50381,1
50382,1
50383,1
50384,2
50385,1
50386,1
50387,1
50388,1
50389,1
50390,1
50391,2
50392,1
50393,2
50394,1
50395,1
50396,1
50397,1
50398,1
50399,1
50400,1
50401,1
50402,1
50403,1
50404,1
50405,1
50406,1
50407,7
50408,1
50409,1
50410,2
50411,1
50412,4
50413,1
50414,1
50415,1
50416,2
50417,1
50418,1
50419,2
50420,1
50421,1
50422,1
50423,1
50424,1
50425,1
50426,3
50427,6
50428,1
50429,1
50430,1
50431,1
50432,1
50433,3
50434,1
50435,1
50436,1
50437,1
50438,1
50439,1
50440,1
50441,1
